window,common_cost,extra_dynamic_dispatch,static_expected,dynamic_expected,reduction_pct,static_state_bits,dynamic_state_bits,descriptor_bytes,exhaustive_static_contracts,admission
1,0,0,240.0,240.0,0.0,229,229,234,6,load0|load1|vpu0|vpu1
1,0,1,240.0,244.0,-1.6666666666666667,229,229,234,6,load0|load1|vpu0|vpu1
1,0,2,240.0,248.0,-3.3333333333333335,229,229,234,6,load0|load1|vpu0|vpu1
1,0,4,240.0,256.0,-6.666666666666667,229,229,234,6,load0|load1|vpu0|vpu1
1,0,8,240.0,272.0,-13.333333333333334,229,229,234,6,load0|load1|vpu0|vpu1
1,0,16,240.0,304.0,-26.666666666666668,229,229,234,6,load0|load1|vpu0|vpu1
1,1,0,244.0,244.0,0.0,229,229,234,6,load0|load1|vpu0|vpu1
1,1,1,244.0,248.0,-1.639344262295082,229,229,234,6,load0|load1|vpu0|vpu1
1,1,2,244.0,252.0,-3.278688524590164,229,229,234,6,load0|load1|vpu0|vpu1
1,1,4,244.0,260.0,-6.557377049180328,229,229,234,6,load0|load1|vpu0|vpu1
1,1,8,244.0,276.0,-13.114754098360656,229,229,234,6,load0|load1|vpu0|vpu1
1,1,16,244.0,308.0,-26.229508196721312,229,229,234,6,load0|load1|vpu0|vpu1
1,2,0,248.0,248.0,0.0,229,229,234,6,load0|load1|vpu0|vpu1
1,2,1,248.0,252.0,-1.6129032258064515,229,229,234,6,load0|load1|vpu0|vpu1
1,2,2,248.0,256.0,-3.225806451612903,229,229,234,6,load0|load1|vpu0|vpu1
1,2,4,248.0,264.0,-6.451612903225806,229,229,234,6,load0|load1|vpu0|vpu1
1,2,8,248.0,280.0,-12.903225806451612,229,229,234,6,load0|load1|vpu0|vpu1
1,2,16,248.0,312.0,-25.806451612903224,229,229,234,6,load0|load1|vpu0|vpu1
2,0,0,150.0,150.0,0.0,287,290,234,6,load0|load1|vpu0|vpu1
2,0,1,150.0,152.5,-1.6666666666666667,287,290,234,6,load0|load1|vpu0|vpu1
2,0,2,150.0,155.0,-3.3333333333333335,287,290,234,6,load0|load1|vpu0|vpu1
2,0,4,150.0,160.0,-6.666666666666667,287,290,234,6,load0|load1|vpu0|vpu1
2,0,8,150.0,170.0,-13.333333333333334,287,290,234,6,load0|load1|vpu0|vpu1
2,0,16,150.0,190.0,-26.666666666666668,287,290,234,6,load0|load1|vpu0|vpu1
2,1,0,154.0,153.5,0.3246753246753247,287,290,234,6,load0|load1|vpu0|vpu1
2,1,1,154.0,156.0,-1.2987012987012987,287,290,234,6,load0|load1|vpu0|vpu1
2,1,2,154.0,158.5,-2.9220779220779223,287,290,234,6,load0|load1|vpu0|vpu1
2,1,4,154.0,163.5,-6.1688311688311686,287,290,234,6,load0|load1|vpu0|vpu1
2,1,8,154.0,173.5,-12.662337662337663,287,290,234,6,load0|load1|vpu0|vpu1
2,1,16,154.0,193.5,-25.649350649350648,287,290,234,6,load0|load1|vpu0|vpu1
2,2,0,158.0,157.0,0.6329113924050633,287,290,234,6,load0|load1|vpu0|vpu1
2,2,1,158.0,159.5,-0.9493670886075949,287,290,234,6,load0|load1|vpu0|vpu1
2,2,2,158.0,162.0,-2.5316455696202533,287,290,234,6,load0|load1|vpu0|vpu1
2,2,4,158.0,167.0,-5.69620253164557,287,290,234,6,load0|load1|vpu0|vpu1
2,2,8,158.0,177.0,-12.025316455696203,287,290,234,6,load0|load1|vpu0|vpu1
2,2,16,158.0,197.0,-24.68354430379747,287,290,234,6,load0|load1|vpu0|vpu1
3,0,0,150.0,140.0,6.666666666666667,345,351,234,6,load0|load1|vpu0|vpu1
3,0,1,150.0,142.0,5.333333333333333,345,351,234,6,load0|load1|vpu0|vpu1
3,0,2,150.0,144.0,4.0,345,351,234,6,load0|load1|vpu0|vpu1
3,0,4,150.0,148.0,1.3333333333333333,345,351,234,6,load0|load1|vpu0|vpu1
3,0,8,150.0,156.0,-4.0,345,351,234,6,load0|load1|vpu0|vpu1
