config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,B_order0,32,7882.0,7882.0,0.0,0.0,0.0
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,B_order2,32,7912.0,7912.0,-0.3806140573458513,-0.3806140573458513,-0.3806140573458513
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,B_order0,32,8318.42021197394,9673.745089514572,0.0016308709114112806,0.0001022431522966214,0.0031594986705259396
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,B_order2,32,8350.51396197394,9703.745089514572,-0.38983281310887763,-0.41633936681344197,-0.3633262594043133
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,B_order0,32,11937.899578869134,11965.000000000004,-0.3952636925691272,-0.5054601234796381,-0.28506726165861623
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,B_order2,32,11974.421264261107,12030.561641894294,-0.7022353750398297,-0.8223970210360809,-0.5820737290435785
qwen35_full_decode__two_core__combined,main,qwen35_full_decode,two_core,combined,B_order0,32,12600.94891403132,14857.245089514574,0.0,0.0,0.0
qwen35_full_decode__two_core__combined,main,qwen35_full_decode,two_core,combined,B_order2,32,12633.991672651073,14881.245089514574,-0.2672934551635675,-0.3105269636642764,-0.2240599466628586
qwen35_full_decode__dma16__service,hardware_sensitivity,qwen35_full_decode,dma16,service,B_order0,32,15359.422962258917,18104.253639346643,0.0,0.0,0.0
qwen35_full_decode__dma16__service,hardware_sensitivity,qwen35_full_decode,dma16,service,B_order2,32,15389.422962258917,18134.253639346643,-0.197859506951614,-0.20590750240724506,-0.18981151149598294
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,B_order0,32,5340.769055349541,6005.306652587734,-6.239962002861334,-7.799032221441528,-4.6808917842811395
