config,seeds,tasks,A_mean,A_p95,A2_mean,A2_p95,B_mean,B_p95,C_mean,C_p95,B_paired_reduction_pct,B_normal95_low,B_normal95_high,B_wins,B_losses,C_paired_reduction_pct,C_normal95_low,C_normal95_high,C_wins,C_losses
chain_deterministic,20,12,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chain_memory_cov06,20,12,544.519924670562,570.1328649979706,544.519924670562,570.1328649979706,544.519924670562,570.1328649979706,544.519924670562,570.1328649979706,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
fork_join_deterministic,20,10,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
fork_join_memory_cov06,20,10,169.421233765574,192.8522222251001,169.421233765574,192.8522222251001,169.421233765574,192.8522222251001,169.421233765574,192.8522222251001,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
diamond_deterministic,20,11,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
diamond_memory_cov06,20,11,183.8685225440471,211.27244597280253,183.8685225440471,211.27244597280253,183.8685225440471,211.27244597280253,183.8685225440471,211.27244597280253,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
critical_background_deterministic,20,14,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
critical_background_memory_cov06,20,14,183.84196721622806,202.8522222251001,183.84196721622806,202.8522222251001,188.1130930161865,200.0,190.1130930161865,200.0,-2.3826264362510328,-4.440756722091471,-0.3244961504105941,2,6,-3.493737547362144,-5.820089248279035,-1.167385846445253,2,8
pipeline_deterministic,20,30,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
pipeline_memory_cov06,20,30,623.5276448824267,661.0759065223252,623.5276448824267,661.0759065223252,623.5276448824267,661.0759065223252,623.5276448824267,661.0759065223252,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
llm_prefill_deterministic,20,36,648.0,648.0,648.0,648.0,648.0,648.0,663.0,663.0,0.0,0.0,0.0,0,0,-2.314814814814815,-2.314814814814815,-2.314814814814815,0,20
llm_prefill_memory_cov06,20,36,673.4402259383011,715.1785182820321,679.821088891171,726.0317543547156,673.5964630910894,723.7861277811872,673.5964630910894,723.7861277811872,0.9194196583201885,0.15598257453759556,1.6828567421027814,6,0,0.9194196583201885,0.15598257453759556,1.6828567421027814,6,0
llm_decode_deterministic,20,36,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
