config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high,tasks,sram_high_water_bytes,search_unique,search_budget_exhausted
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,S8,32,8460.75,8460.75,-7.3426795229637145,-7.3426795229637145,-7.3426795229637145,32,148736,150,True
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,S,32,7882.0,7882.0,0.0,0.0,0.0,32,148736,150,True
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,B0,32,8460.75,8460.75,-7.3426795229637145,-7.3426795229637145,-7.3426795229637145,32,148736,150,True
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,B2,32,8506.75,8506.75,-7.926287744227354,-7.926287744227354,-7.926287744227354,32,148736,150,True
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,B8,32,8644.75,8644.75,-9.677112408018269,-9.677112408018269,-9.677112408018269,32,148736,150,True
qwen35_full_decode__two_core__deterministic,main,qwen35_full_decode,two_core,deterministic,H2,32,8506.75,8506.75,-7.926287744227354,-7.926287744227354,-7.926287744227354,32,148736,150,True
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,S8,32,8887.747386912355,10257.593196578113,-6.902822315192692,-7.134542207950323,-6.671102422435061,32,148736,150,True
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,S,32,8318.54521197394,9673.745089514572,0.0,0.0,0.0,32,148736,150,True
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,B0,32,8882.57938484923,10257.593196578113,-6.8324157430036925,-7.074822693468186,-6.590008792539199,32,148736,150,True
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,B2,32,8928.57938484923,10303.593196578113,-7.391262040847865,-7.648631926282428,-7.133892155413302,32,148736,150,True
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,B8,32,9066.57938484923,10441.593196578113,-9.067800934380383,-9.37384621511685,-8.761755653643917,32,148736,150,True
qwen35_full_decode__two_core__service,main,qwen35_full_decode,two_core,service,H2,32,8928.57938484923,10303.593196578113,-7.391262040847865,-7.648631926282428,-7.133892155413302,32,148736,150,True
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,S8,32,12409.542429008234,12506.8125,-4.361134134811654,-4.516709584952092,-4.2055586846712165,32,148736,150,True
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,S,32,11890.96426448525,11936.5,0.0,0.0,0.0,32,148736,150,True
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,B0,32,12409.542429008234,12506.8125,-4.361134134811654,-4.516709584952092,-4.2055586846712165,32,148736,150,True
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,B2,32,12485.575831136453,12560.825971129681,-5.001588673100008,-5.210772078251419,-4.792405267948596,32,148736,150,True
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,B8,32,12664.636158004916,12692.014008153341,-6.506660212488934,-6.565458076370714,-6.4478623486071545,32,148736,150,True
qwen35_full_decode__two_core__calendar,main,qwen35_full_decode,two_core,calendar,H2,32,12485.575831136453,12560.825971129681,-5.001588673100008,-5.210772078251419,-4.792405267948596,32,148736,150,True
