plan_id,status,output_visible_cycles,final_ack_cycles,quiescent_cycles,payload_router_byte_hops,full_protocol_flit_hops,dependency_only_DAG_ticks
p0000,valid,2336.777777777778,2456.777777777778,2472.777777777778,59392,3048,42392
p0001,valid,2430.3333333333335,2550.3333333333335,2566.3333333333335,59392,3048,42392
p0002,valid,2368.777777777778,2488.777777777778,2504.777777777778,59392,3048,43544
p0003,valid,2462.3333333333335,2582.3333333333335,2598.3333333333335,59392,3048,43544
p0004,valid,2400.777777777778,2520.777777777778,2536.777777777778,59392,3048,44696
p0005,valid,2494.3333333333335,2614.3333333333335,2630.3333333333335,59392,3048,44696
p0006,valid,2354.777777777778,2474.777777777778,2490.777777777778,63488,3176,43040
p0007,valid,2447.0,2567.0,2583.0,63488,3176,43040
p0008,valid,2386.777777777778,2506.777777777778,2522.777777777778,63488,3176,44192
p0009,valid,2479.0,2599.0,2615.0,63488,3176,44192
p0010,valid,2418.777777777778,2538.777777777778,2554.777777777778,63488,3176,45344
p0011,valid,2511.0,2631.0,2647.0,63488,3176,45344
p0012,valid,2334.777777777778,2463.777777777778,2479.777777777778,108544,4584,48224
p0013,valid,2479.4444444444443,2608.4444444444443,2624.4444444444443,108544,4584,48224
p0014,valid,2329.777777777778,2458.777777777778,2474.777777777778,108544,4584,49376
p0015,valid,2479.4444444444443,2608.4444444444443,2624.4444444444443,108544,4584,49376
p0016,valid,2329.777777777778,2458.777777777778,2474.777777777778,108544,4584,50528
p0017,valid,2479.4444444444443,2608.4444444444443,2624.4444444444443,108544,4584,50528
p0018,valid,2334.777777777778,2445.777777777778,2461.777777777778,112640,4712,48872
p0019,valid,2480.777777777778,2591.777777777778,2607.777777777778,112640,4712,48872
p0020,valid,2331.1111111111113,2442.1111111111113,2458.1111111111113,112640,4712,50024
p0021,valid,2480.777777777778,2591.777777777778,2607.777777777778,112640,4712,50024
p0022,valid,2331.1111111111113,2442.1111111111113,2458.1111111111113,112640,4712,51176
p0023,valid,2480.777777777778,2591.777777777778,2607.777777777778,112640,4712,51176
